mouse2;mouse;applicaiton;day;group;kb1;yl2;kb18;yl27;yl31;yl32;yl44;yl45;i46;i48;i49;yl58;universal
A;1681;TRUE;0;water;25145275.44;115496.67;8249.76;30119882092;21284386688;16276780983;2.47245E+11;10988683360;5917554485;4.5019E+11;7185542948;18702211094;1.50806E+14
B;1682;TRUE;0;water;40467836.5;265611.68;18972.26;36521605839;33713710949;32784070073;2.6656E+11;14041371679;9209136350;6.0844E+11;20167515328;29843369343;1.21385E+14
C;1683;TRUE;0;water;93063434.54;201342.62;14381.62;44539863510;31912805014;11736836490;3.58821E+11;16495713092;15920448468;7.26128E+11;6.60404E+11;55915721448;1.69415E+14
D;1684;TRUE;0;water;22423762.67;119275.33;8519.67;14798661000;10632544000;5045346600;1.34355E+11;6491134033;6088153800;2.58572E+11;10649583333;18538794667;5.89305E+13
E;1685;TRUE;0;water;105916163.5;204923.48;14637.39;58813038261;22204922609;20960744348;1.64817E+11;14224616870;7252827391;5.47438E+11;18047903478;40940783478;1.03955E+14
A;1686;TRUE;0;Ciprofloxacin;58520384.27;149150.81;10653.63;21456408871;13956254032;3523155121;2.2916E+11;7647174919;12592589516;3.00326E+11;33292590726;35508545565;5.79451E+13
B;1687;TRUE;0;Ciprofloxacin;36561379.06;155864.59;11133.18;19883868151;14462007127;4319675724;1.84811E+11;7434740846;12157437862;3.16405E+11;15040932739;28823815590;6.47395E+13
C;1688;TRUE;0;Ciprofloxacin;75281827.34;264146.76;18867.63;48376592806;19641198561;18599705612;2.24147E+11;12113015827;17503496547;5.25086E+11;25169412950;40263513669;1.1313E+14
D;1689;TRUE;0;Ciprofloxacin;48226128.31;216468.67;15462.05;47483950000;17920513855;16003219880;2.25127E+11;8573705723;12069674819;4.31546E+11;5407078253;24182643373;8.33095E+13
E;1690;TRUE;0;Ciprofloxacin;32238305.88;185582.35;13255.88;28659217647;10000237647;6783035000;1.05185E+11;7111780882;5286445882;2.33304E+11;7082617941;13308905882;3.94097E+13
A;1691;TRUE;0;Tetracyclin;38272199.64;135237.45;9659.82;32283112364;8508367855;2187948818;1.19299E+11;8203117600;7393624836;2.30966E+11;15281832364;15552307273;3.72772E+13
B;1692;TRUE;0;Tetracyclin;59379994.86;209558.84;14968.49;44980308682;11706855048;6178992154;2.2318E+11;9368777106;11397007331;3.28858E+11;16300684244;23620275241;6.14456E+13
C;1693;TRUE;0;Tetracyclin;91980684.92;219524.31;15680.31;31078369846;22563962769;5152549108;3.70526E+11;14466651877;17530584000;5.41441E+11;2.12311E+11;37507296000;9.56812E+13
D;1694;TRUE;0;Tetracyclin;59203766.04;259747.01;18553.36;34193839179;12718327052;7287759104;2.42863E+11;9491898060;11454843358;3.92032E+11;10590256866;28980345522;8.3119E+13
E;1695;TRUE;0;Tetracyclin;52633764.37;166149.43;11867.82;23486408046;13707327586;5117402299;1.98193E+11;9088373563;9910813218;3.81788E+11;19332672414;25871839080;8.61959E+13
A;1696;TRUE;0;Vancomycin;41097151.87;162301.87;11592.99;15615758411;8622866449;2950416122;1.41666E+11;7652533131;7877437150;1.9511E+11;22919342523;18479227103;4.15957E+13
B;1697;TRUE;0;Vancomycin;77573925.73;226115.96;16151.14;26116393485;15056092769;3852046906;2.45013E+11;14545716743;15577774593;3.94734E+11;43139695114;36856901629;7.84784E+13
C;1698;TRUE;0;Vancomycin;63612120;283080;20220;41451000000;12738600000;3558720000;1.71405E+11;11102802000;10534620000;2.91977E+11;19053306000;27620520000;5.30775E+13
D;1699;TRUE;0;Vancomycin;30829560.12;98317.5;7022.68;11812145814;8090126027;1937557093;1.21703E+11;6729130868;6422942070;1.88278E+11;14789761644;14698466819;3.3147E+13
E;1700;TRUE;0;Vancomycin;81442612.16;244782.43;17484.46;26926067568;14749890000;4170043581;1.95301E+11;8946797905;12307311014;3.39898E+11;18760825000;32695939189;6.79271E+13
A;1681;TRUE;4;water;54670427.27;136627.27;9759.09;18864322727;11320545455;4759508636;2.22702E+11;8460155909;8908098182;2.99702E+11;24348931818;26144604545;5.19476E+13
B;1682;TRUE;4;water;47761239.05;228055.03;16289.64;33051689645;14110090473;8257221036;1.95964E+11;8420117485;8763828994;3.89323E+11;16859782544;28376561538;7.34337E+13
C;1683;TRUE;4;water;63017519.88;222004.35;15857.45;28717848137;20884266149;14677658882;2.25017E+11;15186683137;11005072671;5.69124E+11;30367023292;36186708696;1.0994E+14
D;1684;TRUE;4;water;68589055.66;223469.11;15962.08;42187776147;20782627523;9130309480;2.57149E+11;13366645382;13746542875;5.17012E+11;8750411988;38468611621;8.91323E+13
E;1685;TRUE;4;water;40791341.2;311214.59;22229.61;56352070815;19066339700;20375663949;1.66522E+11;10412351073;8129369742;4.61931E+11;12157375751;29298630901;8.57174E+13
A;1686;TRUE;4;Ciprofloxacin;242098.12;135574.95;9683.92;13538126931;9993810438;5103428392;1.20662E+11;3808687641;2764760543;1.73923E+11;5453018079;13402551983;3.4436E+13
B;1687;TRUE;4;Ciprofloxacin;4337162.23;189277.65;13519.83;24416817318;14763656983;4256043240;1.88602E+11;6868074860;3598979385;3.649E+11;8426911536;17765059777;7.47241E+13
C;1688;TRUE;4;Ciprofloxacin;262039.34;146742.03;10481.57;20449549896;10513018219;3733536480;2.18226E+11;7504806625;6362315114;3.156E+11;8136845507;28363137888;6.45665E+13
D;1689;TRUE;4;Ciprofloxacin;488798.83;273727.34;19551.95;42329978516;20412239063;6790393320;3.46265E+11;12096793398;9940212969;5.22624E+11;11705754336;45634258594;9.59805E+13
E;1690;TRUE;4;Ciprofloxacin;226022.94;126572.85;9040.92;24338150669;10794855832;2999776520;1.54057E+11;5477892084;3236648566;2.03421E+11;5428167036;17928139962;3.68598E+13
A;1691;TRUE;4;Tetracyclin;9737133.87;175263.4;12518.81;20393148711;23961010.82;1900356.03;29919966495;25037.63;152604347.9;3.66175E+11;815100007.7;436405871.1;4.08239E+13
B;1692;TRUE;4;Tetracyclin;9124604.41;178314.44;12736.75;15678933596;33217432.02;7817814.33;70026626247;197419.55;131315845.1;3.7739E+11;3903812467;420312598.4;4.75463E+13
C;1693;TRUE;4;Tetracyclin;10383288.26;248701.52;17764.39;24497099242;26913056.82;8095234.32;56188778030;35528.79;239641674.2;4.29721E+11;2142385909;827287825.8;4.68625E+13
D;1694;TRUE;4;Tetracyclin;1161848.87;80048.64;5717.76;8925423643;1154987.56;2315692.87;9337102376;11435.52;59178817.87;1.8274E+11;892542364.3;236257850.7;2.03552E+13
E;1695;TRUE;4;Tetracyclin;4976251.14;188138.04;13438.43;25694280784;6114486.27;1568264.94;43150803137;26876.86;122074710.6;4.30164E+11;1121302714;467119874.5;3.31929E+13
A;1696;TRUE;4;Vancomycin;5441004;212184;15156;1432242;5171227.2;84479544;1.8945E+11;27826416000;214154280;4.52407E+11;4.71655E+11;859496760;6.44736E+13
B;1697;TRUE;4;Vancomycin;838370.08;260710.38;18622.17;891443.27;1179900.68;18678036.32;92887383019;4499116226;73427215.57;3.04845E+11;38156825943;187897693.4;3.97956E+13
C;1698;TRUE;4;Vancomycin;2597901.92;94029.54;6716.4;546244.48;3630211.96;36711819.79;36604357459;2679170310;46974472.67;1.31171E+11;19974561300;286319955.7;1.40238E+13
D;1699;TRUE;4;Vancomycin;1231187.3;120199.6;8585.69;1634714.52;2562827.12;29740814.52;44980406250;2759439315;88604274.19;1.90774E+11;18914265121;236020494;2.10607E+13
E;1700;TRUE;4;Vancomycin;2532475.16;155230.53;11087.89;1160902.58;1505736.11;12728903.16;75907727368;2214252579;78302712.63;1.61883E+11;33319123684;497402957.9;2.22756E+13
A;1681;FALSE;9;water;9478976.69;285880.38;20420.03;38736791866;12006976077;5129510868;2.3626E+11;8466143336;973218503.1;3.93494E+11;1779401183;5205064969;6.08517E+13
B;1682;FALSE;9;water;30223661.3;331867.65;23704.83;83346190684;51249847627;30911101437;3.79277E+11;21950674793;7794148890;1.02618E+12;9503267305;24581911189;1.51687E+14
C;1683;FALSE;9;water;15944685.62;192934.83;13781.06;29601715402;10782300805;3744313815;1.81634E+11;9361473590;2472322041;3.18894E+11;5891402856;8739947815;3.83251E+13
D;1684;FALSE;9;water;31220297.48;531797.26;37985.52;67614222561;29081712805;5568676982;4.4671E+11;14293950534;3859328659;6.72724E+11;4087241768;12531422485;9.51157E+13
E;1685;FALSE;9;water;15659463.14;332170.43;23726.46;41639936089;16978654282;15733015168;1.64448E+11;6826102343;1542931649;3.95046E+11;1321326519;7768042778;5.38591E+13
A;1686;FALSE;9;Ciprofloxacin;24788550.72;157031.54;11216.54;37093093777;12338192668;4332948934;1.88662E+11;12192377664;4468669054;3.01949E+11;6825263853;13157000000;8.06693E+13
B;1687;FALSE;9;Ciprofloxacin;30534319.21;175773.22;12555.23;34162780658;8432092426;3816789901;1.45515E+11;8183498873;2307651262;2.2725E+11;8222420086;9611028517;5.42637E+13
C;1688;FALSE;9;Ciprofloxacin;74984996.97;225518.79;16108.48;36211873939;10499510424;6451448182;2.08605E+11;8878996848;5054842545;3.61152E+11;13063981212;17155536364;7.10706E+13
D;1689;FALSE;9;Ciprofloxacin;76033536.4;193751.28;13839.38;43248052646;11946150094;5346151276;1.96519E+11;6399327854;4474270535;2.86613E+11;7495406500;16787164115;5.77379E+13
E;1690;FALSE;9;Ciprofloxacin;43694889.09;147582.26;10541.59;33638212569;7416008318;4023724769;1.31454E+11;5809470055;2787196303;2.66281E+11;3791809797;11701164510;4.88181E+13
A;1691;FALSE;9;Tetracyclin;145510917.1;199135.17;14223.94;2645653.04;398270349.9;1051718203;37224053775;181213009.2;6641158085;90549608840;7837391529;16755802578;1.79506E+13
B;1692;FALSE;9;Tetracyclin;177273458.8;147903.96;10564.57;52157274.5;4270198572;3437710578;1.37973E+11;1427273199;8067104478;2.81968E+11;5526325762;19385983128;4.36739E+13
C;1693;FALSE;9;Tetracyclin;71985990.03;174602.19;12471.59;16387663.01;3180254237;1884456530;71225223330;1741033300;3262566700;1.75849E+11;2026632602;10068310768;2.86722E+13
D;1694;FALSE;9;Tetracyclin;205900527.7;296442.55;21174.47;8495196.6;4383114894;3701297021;1.24167E+11;1310911319;10915438298;3.43238E+11;7402594043;21259165957;5.72346E+13
E;1695;FALSE;9;Tetracyclin;176644894.5;210649.79;15046.41;4137763.71;3913572152;3063449789;1.49245E+11;582296202.5;8383861603;2.78509E+11;4718555274;21501324895;4.68696E+13
A;1696;FALSE;9;Vancomycin;960498.45;154936.95;11066.93;22277720.66;9797548982;44987.05;39796663434;229085354;17397206596;31109127061;13158574200;18437497575;1.03631E+13
B;1697;FALSE;9;Vancomycin;234030.84;100596.61;7185.47;588202.78;5276292454;36301.01;31558595205;132571967.6;7501633286;35431564880;3708422355;8069285614;6.58477E+12
C;1698;FALSE;9;Vancomycin;189896.19;106341.86;7595.85;10975999.52;5709798503;33421.73;26555082569;98518140.99;4561306374;22711583776;3149997924;7618634959;5.35051E+12
D;1699;FALSE;9;Vancomycin;943748.33;187597.28;13399.81;3667526.88;13788400291;57029.57;77370479379;665434362;10737264483;73229939350;5327762834;15369577390;1.68436E+13
E;1700;FALSE;9;Vancomycin;3705685.92;171729.9;12266.42;3051885654;21834230163;55922.62;1.04068E+11;1410638466;12044399212;2.18097E+11;4415911718;10384752391;3.77192E+13
A;1681;TRUE;14;water;111195914.8;229168.67;16369.19;34653577453;24619263339;21001672117;2.2835E+11;13697739071;10320774957;5.21359E+11;36847049053;54067438038;1.14617E+14
C;1683;TRUE;14;water;39771588.73;380849.69;27203.55;58596444676;10840614301;3517418894;2.75572E+11;9173036743;2304956712;4.48859E+11;19398850835;14893943111;7.75301E+13
D;1684;TRUE;14;water;21060196.72;208222.28;14873.02;47638283968;14464012226;9609458405;1.76543E+11;9016024896;1575052848;3.76882E+11;2510565824;9135009058;6.10686E+13
E;1685;TRUE;14;water;740487.9;204473.98;14605.28;3790071202;1351134824;1841726314;13902769855;696233889;66001278.47;39594924967;89428154.03;531486285.3;6.04513E+12
A;1686;TRUE;14;Ciprofloxacin;89588080.93;185263.39;13233.1;34816283741;16475208384;5916518609;2.02863E+11;9763380519;5048427308;2.31579E+11;17997014781;18208744366;4.51778E+13
B;1687;TRUE;14;Ciprofloxacin;77473810.78;176048.26;12574.88;44162964366;13027571493;4393661660;2.81803E+11;9587085431;4298092603;2.73629E+11;11849305616;16686860397;5.62851E+13
C;1688;TRUE;14;Ciprofloxacin;40752601.91;173047.14;12360.51;34967883170;9443429743;3661183102;1.48079E+11;8078829424;2364565589;2.31142E+11;5143208267;10947703826;4.08515E+13
D;1689;TRUE;14;Ciprofloxacin;105139820.5;155237.03;11088.36;26101997195;15423907433;6650797756;2.24539E+11;9027033100;6946856943;3.7767E+11;2747695372;22320866760;5.91897E+13
E;1690;TRUE;14;Ciprofloxacin;166080033.5;215688.36;15406.31;40949974867;23987626361;10083430606;3.01656E+11;13301808992;7398110584;4.63884E+11;7333404077;28902239598;7.56758E+13
A;1691;TRUE;14;Tetracyclin;112994362.7;277822.46;19844.46;69197636571;25242154780;7590506449;3.31006E+11;11863018968;10196084219;4.50866E+11;3782354325;35819252656;9.49359E+13
B;1692;TRUE;14;Tetracyclin;118574103.1;291234.64;20802.47;47096801649;15112997526;4913544412;2.09689E+11;8805687340;8526934186;2.7272E+11;12138243711;26835191753;6.09512E+13
C;1693;TRUE;14;Tetracyclin;97657493.65;204487.72;14606.27;38881879763;20156646909;6258784928;2.21577E+11;7224259102;10066638442;2.98406E+11;10339775614;27956392887;5.99441E+13
D;1694;TRUE;14;Tetracyclin;60880971.64;136789.22;9770.66;32653539916;23713387605;6477946429;3.14908E+11;9713988445;9457997199;4.61761E+11;12701855742;25266922269;6.74078E+13
E;1695;TRUE;14;Tetracyclin;129364858.6;365069.14;26076.37;47902286894;10399255315;3757604541;2.25456E+11;7249230134;7233584314;3.04572E+11;2248043633;22576918885;5.96627E+13
A;1696;TRUE;14;Vancomycin;357199.58;200031.77;14287.98;9344341025;21174791130;983870524.4;1.37765E+11;6648198592;6885379113;1.826E+11;8277028678;18188602637;3.00048E+13
B;1697;TRUE;14;Vancomycin;589416.06;330072.99;23576.64;1575862774;14612802920;4847357664;1.54969E+11;5997897810;3067321168;2.17542E+11;2558065693;11566700730;3.60487E+13
C;1698;TRUE;14;Vancomycin;405039.27;226821.99;16201.57;574993743.5;15402833246;964641518.3;1.39739E+11;5210425131;3860834293;1.85022E+11;1313623351;6752814660;2.56471E+13
D;1699;TRUE;14;Vancomycin;476722.07;266964.36;19068.88;1208967161;20632531037;2217711053;1.31938E+11;5465141770;8235850421;2.14716E+11;5301149379;23969585503;3.54872E+13
E;1700;TRUE;14;Vancomycin;420345.6;235393.53;16813.82;5745283612;17553632107;908282764.8;1.20168E+11;6922251282;4665836120;1.86129E+11;1657843032;19621732441;2.98109E+13
A;1681;TRUE;18;water;58458030.36;133335.36;9523.95;23638454116;16181198043;5117220547;2.25813E+11;8193457726;4083871525;3.82577E+11;10695400472;20124115047;6.44391E+13
C;1683;TRUE;18;water;52849572.8;273326.2;19523.3;37426165886;11551936544;5528998528;1.70282E+11;9052954158;3229153802;3.62548E+11;14162201739;16858369454;5.30448E+13
D;1684;TRUE;18;water;45579533.86;668461.63;47747.26;56007535323;29020784287;31871295676;2.65188E+11;17661711267;1447219434;6.40291E+11;2729233350;14997414190;1.40043E+14
E;1685;TRUE;18;water;27935847.37;292303.34;20878.81;67146251980;28374302376;27685301656;2.37392E+11;18747083225;1939223844;7.15308E+11;2668311879;13381229134;1.31641E+14
A;1686;TRUE;18;Ciprofloxacin;5055840.51;230860.3;16490.02;33639643312;10237005180;4234637452;2.77527E+11;14408980552;4038406200;2.70766E+11;3149594055;16852801699;4.98328E+13
B;1687;TRUE;18;Ciprofloxacin;13035459.32;337331.66;24095.12;45708440551;17167772215;5214183730;3.05526E+11;15310038548;3156460576;3.56367E+11;6071969962;16242519650;5.62139E+13
C;1688;TRUE;18;Ciprofloxacin;2510395.97;321551.18;22967.94;45315747941;10565252941;13512039794;3.49113E+11;14506551647;2071019256;3.0823E+11;1096948871;9267564265;6.50222E+13
D;1689;TRUE;18;Ciprofloxacin;28631575.65;550229.32;39302.09;57381057592;17457990262;4169952199;3.37644E+11;15186329215;9837314188;3.63898E+11;2457559953;64298226178;6.30799E+13
E;1690;TRUE;18;Ciprofloxacin;2661505.99;362461.9;25890.14;31922537755;2332183456;7451181156;1.92286E+11;13512062007;1021106966;2.72105E+11;341231993.2;6501013163;4.17608E+13
A;1691;TRUE;18;Tetracyclin;1847287465;486952.07;34782.29;98155624695;141807399.7;18998087.25;7.88862E+11;572864329.8;98538229.89;2.65737E+12;377735678.3;1252858115;2.41354E+14
B;1692;TRUE;18;Tetracyclin;2827454114;436720.63;31194.33;30086931742;47758519.96;4716582.77;3.03802E+11;475401596.4;177121408.4;6.36364E+11;370276702.7;735874255.9;7.23085E+13
C;1693;TRUE;18;Tetracyclin;405255715.8;388867.72;27776.27;27970699510;72107185.63;5130276.27;95272591181;55552.53;63607648.34;5.17472E+11;490251088.7;561080566.1;5.29693E+13
D;1694;TRUE;18;Tetracyclin;2133260184;304254.71;21732.48;50484549783;24992351.38;3405479.53;3.8749E+11;1050765.38;168426715.8;9.66009E+11;447037102.5;867560580;1.2231E+14
E;1695;TRUE;18;Tetracyclin;1078556747;523934.58;37423.9;54227228532;18045803.73;1882422.08;2.22784E+11;109652.02;84802553.38;8.64492E+11;193518977.7;653047024.1;1.78774E+14
A;1696;TRUE;18;Vancomycin;807761.69;452346.55;32310.47;335705.76;58158841.87;28384745.88;1.59452E+11;2054299537;22365305.75;2.77095E+11;3017151474;203362083.7;4.88857E+13
B;1697;TRUE;18;Vancomycin;723070.43;212623.11;15187.36;147864.18;39183400.91;20123258.22;81404274749;1388277006;8837527.51;1.92576E+11;2326704271;226899228.5;2.59096E+13
C;1698;TRUE;18;Vancomycin;579362.79;324443.16;23174.51;241710.16;31007496.64;39049052.19;1.02709E+11;1166604918;11969635.29;2.02105E+11;2164731137;134342644.3;2.62799E+13
D;1699;TRUE;18;Vancomycin;467340.85;261710.88;18693.63;265636.54;97150815.65;20002188.33;1.46483E+11;1797579841;13509889.26;2.22454E+11;3056409151;200769628.7;3.00968E+13
E;1700;TRUE;18;Vancomycin;620623.99;347549.43;24824.96;532991.88;126731418.2;25569708.27;1.45772E+11;1784418088;31502873.58;2.53215E+11;2354399157;355989919;3.17511E+13
A;1681;FALSE;23;water;10026146.17;284718.15;20337.01;19135093161;5541835356;2936664313;96417766685;4185356757;1351394346;1.46813E+11;1985502333;6029923607;2.414E+13
C;1683;FALSE;23;water;23864814.52;226975.14;16212.51;41098712510;13227786800;4944815509;1.74933E+11;9403255722;2118975039;3.16306E+11;1927667423;10651618982;5.54792E+13
D;1684;FALSE;23;water;33199309.2;349203.85;24943.13;47541610317;12386759540;3781378869;1.9069E+11;9216487415;2748733188;3.42469E+11;1441713052;11256835643;6.0986E+13
E;1685;FALSE;23;water;10985919.21;149323.17;10665.94;35090945815;23294415094;21907842767;2.44357E+11;10836596033;1373773198;4.63968E+11;1000785242;9310299879;8.46769E+13
